,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
503,Alec Burks,SF-SG,28.0,TOT,66.0,19.0,26.6,4.9,11.6,0.418,1.8,4.6,0.385,3.1,7.1,0.439,0.493,3.6,4.0,0.887,0.7,3.5,4.3,2.9,0.9,0.3,1.4,1.9,15.0
504,Bruno Caboclo,C,24.0,TOT,30.0,0.0,8.1,1.3,3.0,0.42700000000000005,0.2,1.1,0.182,1.1,1.9,0.5710000000000001,0.461,0.3,0.3,0.889,0.8,1.2,2.0,0.4,0.5,0.6,0.4,1.0,3.0
505,DeMarre Carroll,SF-C,33.0,TOT,24.0,0.0,12.1,1.0,2.8,0.379,0.3,1.4,0.242,0.7,1.4,0.515,0.439,1.2,1.8,0.69,0.5,1.8,2.3,1.0,0.3,0.2,0.7,1.3,3.6
506,Willie Cauley-Stein,C,26.0,TOT,54.0,39.0,20.3,3.2,5.6,0.579,0.0,0.0,0.0,3.2,5.6,0.581,0.579,0.7,1.2,0.606,1.6,4.3,5.8,1.3,0.9,1.1,0.7,2.2,7.2
507,Chris Chiozza,PG,24.0,TOT,28.0,2.0,14.3,2.0,5.0,0.39299999999999996,1.0,2.6,0.375,1.0,2.4,0.41200000000000003,0.489,0.2,0.2,1.0,0.3,1.6,1.9,3.0,0.8,0.1,1.1,1.3,5.1
508,Gary Clark,SF-PF,25.0,TOT,42.0,5.0,13.5,1.3,3.2,0.406,0.9,2.6,0.35100000000000003,0.4,0.5,0.682,0.5529999999999999,0.2,0.2,0.9,0.9,1.7,2.6,0.4,0.1,0.5,0.2,1.1,3.7
509,Jordan Clarkson,SG,27.0,TOT,71.0,2.0,24.0,5.5,12.2,0.45399999999999996,2.1,5.8,0.368,3.4,6.4,0.5329999999999999,0.542,1.9,2.3,0.836,0.7,1.9,2.6,1.9,0.6,0.2,1.4,1.5,15.2
510,Tyler Cook,PF-SF,22.0,TOT,13.0,0.0,4.2,0.6,0.9,0.667,0.0,0.0,0.0,0.6,0.9,0.667,0.667,0.5,0.6,0.875,0.5,0.6,1.1,0.1,0.2,0.0,0.2,0.4,1.8
511,Robert Covington,PF-C,29.0,TOT,70.0,68.0,30.5,4.4,10.3,0.42200000000000004,2.3,6.9,0.335,2.1,3.5,0.593,0.5329999999999999,1.4,1.8,0.7979999999999999,0.9,5.7,6.6,1.3,1.6,1.3,1.5,3.1,12.4
512,Allen Crabbe,SG-SF,27.0,TOT,37.0,1.0,17.6,1.7,4.8,0.35600000000000004,1.0,3.2,0.303,0.7,1.6,0.466,0.45799999999999996,0.3,0.4,0.7140000000000001,0.3,1.8,2.1,0.9,0.4,0.1,0.5,1.3,4.6
513,Jae Crowder,SF-PF,29.0,TOT,65.0,53.0,28.8,3.5,8.7,0.401,2.1,6.1,0.34299999999999997,1.4,2.6,0.5379999999999999,0.521,1.5,1.9,0.7759999999999999,0.8,5.1,5.9,2.5,1.1,0.4,1.1,2.2,10.5
514,Troy Daniels,SG,28.0,TOT,47.0,0.0,11.3,1.5,4.0,0.387,1.0,2.8,0.348,0.6,1.1,0.48100000000000004,0.511,0.2,0.3,0.625,0.3,0.9,1.1,0.4,0.2,0.1,0.3,0.8,4.3
515,Dewayne Dedmon,C,30.0,TOT,44.0,18.0,17.6,2.3,5.8,0.4,0.5,2.4,0.20600000000000002,1.8,3.4,0.541,0.44299999999999995,0.7,0.8,0.833,1.4,4.3,5.7,0.5,0.6,0.9,1.3,3.0,5.8
516,Gorgui Dieng,C,30.0,TOT,63.0,17.0,17.4,2.6,5.8,0.456,0.9,2.4,0.355,1.8,3.4,0.528,0.53,1.2,1.6,0.772,1.4,4.2,5.6,1.2,0.8,0.9,1.0,2.0,7.4
517,Andre Drummond,C,26.0,TOT,57.0,56.0,33.0,7.3,13.8,0.5329999999999999,0.1,0.6,0.14300000000000002,7.2,13.1,0.551,0.536,3.0,5.2,0.575,4.4,10.8,15.2,2.7,1.9,1.6,3.6,3.5,17.7
518,James Ennis,SF-SG,29.0,TOT,69.0,18.0,18.3,2.3,5.2,0.446,0.8,2.4,0.325,1.5,2.8,0.5529999999999999,0.522,1.1,1.4,0.8059999999999999,1.0,2.5,3.6,0.9,0.5,0.3,0.8,2.0,6.6
519,Jacob Evans,SG,22.0,TOT,29.0,1.0,14.4,1.6,4.6,0.336,0.4,1.3,0.33299999999999996,1.1,3.3,0.337,0.384,0.9,1.0,0.862,0.3,1.1,1.4,1.1,0.4,0.4,0.9,1.4,4.4
520,Dante Exum,SG,24.0,TOT,35.0,1.0,13.9,1.6,3.4,0.47100000000000003,0.4,1.2,0.349,1.2,2.2,0.539,0.534,0.9,1.2,0.7440000000000001,0.3,1.6,1.9,1.1,0.4,0.2,0.9,1.1,4.5
